Datetime,Tweet Id,Tweet,Media,Username,,Tweets,Ano,
2021,"1,45159387657849E+018",@Nandamatos09 😨😔 tinha que ser a ferzinha Pantanal 😩😩,,Guiononato,,,,
2021,"1,4501701379701E+018",@alicemarguerit @Guiononato,,Guiononato,,,,
2021,"1,45013616847396E+018",@juliafaccin_19 Só me informar o dia que iremos,,Guiononato,,,,
2021,"1,44984222212863E+018",@dugenevicius Você não tem cultura,,Guiononato,,,,
2021,"1,4472412619588E+018",@analuferreiraa_ Merecido!! 🙏🙏🙏,,Guiononato,,,,
2021,"1,44471518339866E+018",@Nandamatos09 Nois n vai longe se continuar assim,,Guiononato,,,,
2021,"1,44397114803579E+018",@youngxxxx_ 😘🤨,,Guiononato,,,,
2021,"1,44397107426219E+018",@youngxxxx_ Mas deu para perceber q vc n estava colocando mta fé no japonês!,,Guiononato,,,,
2021,"1,44395734909441E+018",@youngxxxx_ Tava falando um monte antes de escutar o álbum 🧐🧐,,Guiononato,,,,
2021,"1,44227731441956E+018",@ViniMassarii Aconteceu isso com meu primo vini,,Guiononato,,,,
2021,"1,44218843759612E+018",Acho q tô precisando de uma namorada,,Guiononato,,,,
2021,"1,44010648146715E+018",@analuferreiraa_ Chama gata,,Guiononato,,,,
2021,"1,44010642288937E+018",@tainacasag Estou decepcionado,,Guiononato,,,,
2021,"1,4400911103623E+018",Qm gosta de calor assim e psicopata,,Guiononato,,,,
2021,"1,44009100233376E+018",@souzapetilli Gelo na cueca,,Guiononato,,,,
2021,"1,44005751614292E+018",@Nandamatos09 2 vezes n da fer,,Guiononato,,,,
2021,"1,4363265655756E+018",Tenho inveja de qm consegue acordar respirando,,Guiononato,,,,
2021,"1,4353085911295E+018",@frannncissco Pm batendo em bolsonarista? Mais fácil o Neymar cozinhar um risoto pra mim do q c achar isso,,Guiononato,,,,
2021,"1,43238608717186E+018",Adoro uma baguncinha,,Guiononato,,,,
2021,"1,43095384272897E+018",@nicbassi @manorosado22 My wall tem q leva pro stu,,Guiononato,,,,
2021,"1,43095376088975E+018",@manorosado22 Mano c amassou,,Guiononato,,,,
2021,"1,42728595585409E+018",Queria mas n posso,,Guiononato,,,,
2021,"1,42370205187218E+018",Se o álbum do kanye for só pra Apple Music eu Vo leva pro pessoal,,Guiononato,,,,
2021,"1,42370187641613E+018",@araujo_iness Carti dixavou tmb,,Guiononato,,,,
2021,"1,42273767130727E+018",@gi_aciari Esse cara é extraordinário,,Guiononato,,,,
2021,"1,42252589390232E+018",@gi_aciari Mostrou os tiks do Léo?,,Guiononato,,,,
2021,"1,42203021896176E+018",@youngxxxx_ E do babysantana,,Guiononato,,,,
2021,"1,42197766439981E+018",@youngxxxx_ Gay,,Guiononato,,,,
2021,"1,42045352047452E+018",@souzapetilli Sim,,Guiononato,,,,
2021,"1,41667384922828E+018",@youngxxxx_ Igual toddinho antes de abrir,,Guiononato,,,,
2021,"1,41667363692945E+018",@youngxxxx_ Lemonnn,,Guiononato,,,,
2021,"1,41642503227281E+018",@Nandamatos09 Ai nhece em novinha,,Guiononato,,,,
2021,"1,41600608131104E+018",@Nandamatos09 Aceitas?,,Guiononato,,,,
2021,"1,41600601695368E+018",@Nandamatos09 To com Corte americano,,Guiononato,,,,
2021,"1,41576699514925E+018","@gi_aciari Meu 6 sobrenome è guilherme, pois estou grato! 😳",,Guiononato,,,,
2021,"1,4157668135274E+018",@gi_aciari @enrico_saggio Mentira! @enrico_saggio não acredite em tremenda baboseira! Meu horário é às 18:69!!! 😡,,Guiononato,,,,
2021,"1,41563994394327E+018",@gi_aciari Agenda lotada? Ou ainda ha vagas disponíveis? 😧,,Guiononato,,,,
2021,"1,41502776014635E+018",@momomotoca Real kkkkkkkkkkk,,Guiononato,,,,
2021,"1,41277966976667E+018",@manorosado22 Essa tem q leva pro stu,,Guiononato,,,,
2021,"1,41277862886207E+018",@manorosado22 Ele mando a feat com Yug? Kkkkk,,Guiononato,,,,
2021,"1,41237996679746E+018",@youngxxxx_ Ele é o cara,,Guiononato,,,,
2021,"1,41237984608953E+018",@Beico012 Parcela em qnts vezes?,,Guiononato,,,,
2021,"1,41164987461392E+018",@Nandamatos09 Algumas dívidas com o eu do futuro,,Guiononato,,,,
2021,"1,41164935840004E+018",@Nandamatos09 Tô bem 👍👏🤝,,Guiononato,,,,
2021,"1,41067758462774E+018",@rafaela3006 Kkkkkkk tão frio q até esquenta,,Guiononato,,,,
2021,"1,41056461112911E+018",Friozin dlc,,Guiononato,,,,
2021,"1,41033640843531E+018",@Beico012 Gay.,,Guiononato,,,,
2021,"1,41025176961625E+018",@HTurssi @dugenevicius Sempre assim…,,Guiononato,,,,
2021,"1,40811357680037E+018",@manorosado22 KKKKKKKKKKKK,,Guiononato,,,,
2021,"1,40753969470398E+018",@jmanzini_ Isso q da anos de esforço! Muito bem pernas longas!,,Guiononato,,,,
2021,"1,40744467637914E+018",@youngxxxx_ @trapics7 Assumido e resumido,,Guiononato,,,,
2021,"1,40659379572727E+018",@Nandamatos09 Emocionadinha,,Guiononato,,,,
2021,"1,40515031044897E+018",@tudorosa22 Remix dessa sai nunk?,,Guiononato,,,,
2021,"1,40514988075091E+018",@araujo_iness Eu avisei…,,Guiononato,,,,
2021,"1,40489448330979E+018",@Nandamatos09 Eu te empresto as minhas mamas,,Guiononato,,,,
2021,"1,40449571411429E+018",@tudorosa22 Kkkkkkk falai,,Guiononato,,,,
2021,"1,40447001037502E+018",@tudorosa22 Gordao mato,,Guiononato,,,,
2021,"1,403818992415E+018",@joaoreisse Falou tudo 👍,,Guiononato,,,,
2021,"1,40268161667421E+018",@youngxxxx_ O cara curte ser o mais brabo de sanca kkkkkkk,,Guiononato,,,,
2021,"1,40168545609019E+018",@souzapetilli Gatorade e água com limão,,Guiononato,,,,
2021,"1,40162533147215E+018",@araujo_iness N vai ter como esse ano....,,Guiononato,,,,
2021,"1,40123424513421E+018",@rafaela3006 Famosa tia Rita? Kkkk,,Guiononato,,,,
2021,"1,40021502910712E+018",@Nandamatos09 Tik,,Guiononato,,,,
2021,"1,39991264044143E+018",@Beico012 Muita coisa pra elas,,Guiononato,,,,
2021,"1,39973771380963E+018",@projetonota1000 @Cheludott Vamos!,,Guiononato,,,,
2021,"1,39874808862237E+018",@samcarvalhol Contei só 1754,,Guiononato,,,,
